date,measure,clean,polluted,slightly_polluted,year
2000-01-01,bod5,32.5,15.0,52.5,2000
2000-01-01,nh3n,41.66666666666667,18.33333333333333,40.0,2000
2000-01-01,ss,35.0,44.16666666666666,20.833333333333336,2000
2001-01-01,bod5,48.333333333333336,17.5,34.166666666666664,2001
2001-01-01,nh3n,44.16666666666666,20.0,35.833333333333336,2001
2001-01-01,ss,47.5,31.666666666666664,20.833333333333336,2001
2002-01-01,bod5,57.49999999999999,18.33333333333333,24.166666666666668,2002
2002-01-01,nh3n,42.5,24.166666666666668,33.33333333333333,2002
2002-01-01,ss,65.0,23.33333333333333,11.666666666666666,2002
2003-01-01,bod5,63.33333333333333,12.5,24.166666666666668,2003
2003-01-01,nh3n,45.0,24.166666666666668,30.833333333333336,2003
2003-01-01,ss,62.5,23.33333333333333,14.166666666666666,2003
2004-01-01,bod5,54.16666666666666,15.0,30.833333333333336,2004
2004-01-01,nh3n,35.833333333333336,25.0,39.16666666666666,2004
2004-01-01,ss,65.0,25.833333333333336,9.166666666666666,2004
2005-01-01,bod5,52.73972602739726,19.17808219178082,28.08219178082192,2005
2005-01-01,nh3n,33.56164383561644,29.45205479452055,36.98630136986301,2005
2005-01-01,ss,61.64383561643836,23.28767123287671,15.068493150684931,2005
2006-01-01,bod5,65.75342465753424,15.068493150684931,19.17808219178082,2006
2006-01-01,nh3n,33.56164383561644,28.08219178082192,38.35616438356164,2006
2006-01-01,ss,57.53424657534247,28.767123287671232,13.6986301369863,2006
2007-01-01,bod5,65.73426573426573,8.391608391608392,25.874125874125877,2007
2007-01-01,nh3n,33.56643356643357,25.174825174825177,41.25874125874126,2007
2007-01-01,ss,43.35664335664335,29.37062937062937,27.27272727272727,2007
2008-01-01,bod5,55.24475524475524,12.587412587412588,32.16783216783217,2008
2008-01-01,nh3n,50.349650349650354,23.07692307692308,26.573426573426573,2008
2008-01-01,ss,39.86013986013986,37.06293706293706,23.07692307692308,2008
2009-01-01,bod5,19.58041958041958,29.37062937062937,51.048951048951054,2009
2009-01-01,nh3n,39.16083916083916,27.972027972027973,32.86713286713287,2009
2009-01-01,ss,37.76223776223776,39.86013986013986,22.377622377622377,2009
2010-01-01,bod5,8.391608391608392,36.36363636363637,55.24475524475524,2010
2010-01-01,nh3n,24.47552447552448,29.37062937062937,46.15384615384615,2010
2010-01-01,ss,47.55244755244755,33.56643356643357,18.88111888111888,2010
2011-01-01,bod5,2.142857142857143,40.71428571428572,57.14285714285714,2011
2011-01-01,nh3n,29.28571428571429,25.0,45.71428571428572,2011
2011-01-01,ss,56.42857142857143,25.0,18.571428571428573,2011
2012-01-01,bod5,8.571428571428571,42.142857142857146,49.28571428571429,2012
2012-01-01,nh3n,25.0,27.142857142857142,47.85714285714286,2012
2012-01-01,ss,68.57142857142857,11.428571428571429,20.0,2012
2013-01-01,bod5,0.0,67.14285714285714,32.857142857142854,2013
2013-01-01,nh3n,29.28571428571429,29.28571428571429,41.42857142857143,2013
2013-01-01,ss,75.0,7.857142857142857,17.142857142857142,2013
2014-01-01,bod5,0.0,89.28571428571429,10.714285714285714,2014
2014-01-01,nh3n,29.28571428571429,28.57142857142857,42.142857142857146,2014
2014-01-01,ss,70.71428571428572,13.571428571428571,15.714285714285714,2014
2015-01-01,bod5,0.0,86.42857142857143,13.571428571428571,2015
2015-01-01,nh3n,22.857142857142858,30.714285714285715,46.42857142857143,2015
2015-01-01,ss,76.42857142857142,14.285714285714285,9.285714285714286,2015
2016-01-01,bod5,0.0,92.14285714285714,7.857142857142857,2016
2016-01-01,nh3n,13.571428571428571,27.142857142857142,59.285714285714285,2016
2016-01-01,ss,62.142857142857146,21.428571428571427,16.428571428571427,2016
2017-01-01,bod5,0.0,64.28571428571429,35.714285714285715,2017
2017-01-01,nh3n,7.857142857142857,30.714285714285715,61.42857142857143,2017
2017-01-01,ss,46.42857142857143,21.428571428571427,32.142857142857146,2017
2018-01-01,bod5,37.76223776223776,36.36363636363637,25.874125874125877,2018
2018-01-01,nh3n,3.4965034965034967,34.96503496503497,61.53846153846154,2018
2018-01-01,ss,49.65034965034965,28.671328671328677,21.67832167832168,2018
2019-01-01,bod5,36.80555555555556,36.11111111111111,27.08333333333333,2019
2019-01-01,nh3n,8.333333333333332,40.27777777777778,51.388888888888886,2019
2019-01-01,ss,54.16666666666666,20.833333333333336,25.0,2019
2020-01-01,bod5,57.638888888888886,10.416666666666668,31.944444444444443,2020
2020-01-01,nh3n,19.444444444444446,29.166666666666668,51.388888888888886,2020
2020-01-01,ss,76.38888888888889,13.88888888888889,9.722222222222223,2020
2021-01-01,bod5,86.11111111111111,6.25,7.638888888888889,2021
2021-01-01,nh3n,40.27777777777778,34.02777777777778,25.694444444444443,2021
2021-01-01,ss,88.19444444444444,6.944444444444445,4.861111111111112,2021
